variable,problema_detectado,transformacion,registros_afectados,justificacion
(fila completa),"'establecimiento (8).xls' trae registros incompletos/duplicados para DEPARTAMENTO='GUATEMALA' (el mismo conjunto de establecimientos ya esta completo en 'establecimiento (5).xls', ahi identificados como 'CIUDAD CAPITAL')","Se elimina la fila completa (todas sus columnas), no solo el valor de DEPARTAMENTO",1908,"Decision explicita confirmada por la responsable del proyecto tras inspeccion manual de la fuente: conservarlas duplicaria informacion incompleta que ya existe completa en otro archivo. A diferencia del resto de duplicados del pipeline (que solo se marcan, nunca se eliminan), aqui si se justifica eliminar la fila completa porque ya se identifico con certeza el archivo de reemplazo."
DISTRITO,"Valores faltantes representados como '', '-', 'N/A', etc.",Unificados a NA real usando el mismo criterio del diagnostico (missing_mask),426,Se documento en el diagnostico que DISTRITO tiene 532 faltantes/equivalentes; se preserva la cantidad pero como NA real para que pandas/analisis posteriores los reconozcan.
DEPARTAMENTO,"Nombres sin tilde (ej. TOTONICAPAN, PETEN, QUICHE, SOLOLA)",Se normaliza a la grafia oficial con tilde usando el catalogo de 22 departamentos,2025,"Son la misma entidad geografica; la tilde faltante es un problema de captura, no una categoria distinta."
DEPARTAMENTO,'CIUDAD CAPITAL' usado en lugar de 'GUATEMALA',NO se unifica automaticamente; se marca en DEPARTAMENTO_REVISAR para decision manual,2161,"Segun el plan de limpieza, unificar automaticamente podria borrar una clasificacion administrativa valida (zona metropolitana vs. resto del departamento); se deja a criterio humano."
MUNICIPIO,Grafia distinta a la oficial (tildes/mayusculas),Se normaliza a la grafia oficial validando contra el municipio correspondiente dentro del mismo departamento,2376,"El catalogo geografico permite distinguir, por ejemplo, 'San Jose' de Escuintla vs. 'San Jose' de Peten sin confundirlos, porque se valida junto con DEPARTAMENTO."
MUNICIPIO,No coincide con ningun municipio del departamento indicado,Se deja el valor original y se marca MUNICIPIO_REVISAR,2566,Puede ser un error de captura o una variante del catalogo que no cubrimos (municipios de creacion reciente); se deja para revision manual en vez de forzar una correccion.
DIRECCION,"Mayusculas inconsistentes, espacios extra, NBSP invisible o marcadores de faltante","Se convierte a mayusculas, se recortan espacios y se convierten marcadores de faltante a NA; las tildes SI se conservan (no se tocan, solo la capitalizacion)",16,"Es un nombre propio o direccion, por lo que no se corrige ortografia ni se quitan tildes automaticamente (ver riesgo en el plan de limpieza); subir a mayusculas es una normalizacion de bajo riesgo pedida explicitamente para mantener consistencia con el resto del conjunto."
DIRECTOR,"Mayusculas inconsistentes, espacios extra, NBSP invisible o marcadores de faltante","Se convierte a mayusculas, se recortan espacios y se convierten marcadores de faltante a NA; las tildes SI se conservan (no se tocan, solo la capitalizacion)",251,"Es un nombre propio o direccion, por lo que no se corrige ortografia ni se quitan tildes automaticamente (ver riesgo en el plan de limpieza); subir a mayusculas es una normalizacion de bajo riesgo pedida explicitamente para mantener consistencia con el resto del conjunto."
TELEFONO,"Multiples numeros por celda y separadores inconsistentes (comas, guiones, 'Y', 'FAX', 'EXT')","Se extraen solo los digitos de cada numero y se reescriben separados por ' / ', descartando palabras de relleno",156,Preserva todos los numeros originales (no se eliminan extensiones ni numeros adicionales) pero en un formato consistente y parseable.
TELEFONO,"Numero con longitud distinta a 8 digitos, o sin digitos reconocibles",Se deja el valor y se marca TELEFONO_REVISAR,92,"Podria ser un numero antiguo de 7 digitos, un error de captura o texto sin numero; no se descarta el dato, solo se marca para que un humano decida."
MODALIDAD,Grafia sin tilde/dieresis: 'MONOLINGUE',Reemplazado por la forma ortografica correcta 'MONOLINGÜE',9494,"Es un error ortografico sistematico (falta la dieresis/tilde), no una categoria distinta; unificarlo no combina conceptos diferentes."
MODALIDAD,Grafia sin tilde/dieresis: 'BILINGUE',Reemplazado por la forma ortografica correcta 'BILINGÜE',465,"Es un error ortografico sistematico (falta la dieresis/tilde), no una categoria distinta; unificarlo no combina conceptos diferentes."
PLAN,Formato inconsistente en parentesis (ej. DIARIO(REGULAR)),Se agrega un espacio antes del parentesis: 'DIARIO (REGULAR)',6301,"Es solo una diferencia de formato tipografico, no una categoria distinta; unificarlo hace mas legible el catalogo de planes sin cambiar su significado."
